Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist 1,₹413K - ₹760K (Glassdoor Est.),"Specific responsibilities include:
Provide analytical insights by analyzing various types of data, including mining our customer data, review of relevant cases/samples, and incorporation of feedback from teammates.
Work closely with business partners and stakeholders to determine how to design analysis, testing, and measurement approaches that will significantly improve our ability to understand and address emerging business issues.
Produce intelligent, scalable, and automated solutions by leveraging Data Science skills.
Work closely with Technology teams on development of new capabilities to define requirements and priorities based on data analysis and business knowledge.
Developing expertise in specific areas by leading analytical projects independently, while setting goals, providing benefit estimations, defining workflows, and coordinating timelines in advance.
Providing updates to leadership, peers and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business.
Qualifications
Masters degree in Statistics, Analytics, or Data Science
3+ years of professional experience in solving problems using data-driven approach
High proficiency in SQL. Experience with Python, R, Unix, Hadoop
Collections and Digital Channels experience a plus
Strong organizational skills and excellent follow-through
Outstanding written, verbal and interpersonal communication skills
High emotional intelligence, a can-do mentality and a creative approach to problem solving
Experience with working in a technology environment",4.1,"Paypal
4.1",Bangalore,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,₹540K - ₹724K (Glassdoor Est.),"At PayPal, were literally reinventing how the world pays and gets paid. We understand that its about people. We connect individuals to let them shop, get paid, donate and send money using todays technology with the confidence that comes from the security and control PayPal enables. Are you ready to help us change the world?

The worlds leading payments company, PayPal, brings together a family of brands that are revolutionizing the way people move money. At PayPal you will be immersed in an amazing community with a vibrant culture that thrives on innovation, collaboration, inclusion and wellness.

As a Data Scientists in PayPals Global Data Science organization, you will have an impact on PayPals marketing and product all around the world. Our data scientists work to better understand our end-users, identify opportunities and improve our products and marketing outreach by creating personal and smart experiences. Making use of PayPals endless amount of data, you will leverage your data and machine learning skills for research and delivery of end-to-end Data Science solutions.
If you are an experienced Data Scientist with sharp analytical skills and a passion for deriving new insights from unimaginable amounts of data, solving unique challenges, leveraging cutting edge machine learning algorithms, and working in a highly collaborative, values-driven environment then PayPals Global Data Sciences (GDS) is looking for you.

In your role you will Collaborate with other data scientists, product managers and engineers to formulate innovative ideas, and test / implement through advanced data science technique

You will interact with cross functional teams to:
Design, develop and implement data-driven strategies and machine learning models for card auth optimization, Transaction expense optimization and improve PP payments platform availability and reduce latency
Create innovative features and data for payment strategies and models, align with stakeholders and implement these capabilities
Develop models and solutions using latest technologies like Deep learning, LSTM, reinforcement learning to bring best value to Consumers and Merchants.
Analyze and monitor data science solutions, and communicate analysis results and complex concepts to conclude actionable insights
Job Requirements:
Professional industry experience in a quantitative analysis role (2+ years preferred), with advanced degree (Masters or PhD.) in Math, Statistics, Operations Research, or Computer Science
Proficiency in languages used for querying (e.g. SQL/Hive/Pig/Spark), preprocessing (e.g. Unix/Python), and statistical analysis (e.g. Python/R)
Experience with machine learning algorithms and statistical methods
Strong verbal and written communication skills to express data science concepts and solutions to product managers, data scientists, business partners of varying technical levels, and influence and negotiate to reach alignment on how to execute strategies and improve models.
Team worker, responsible, delivery-oriented
Knowledge about card issuers and card payment processing is a strong plus",4.1,"Paypal
4.1",Chennai,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,₹496K - ₹873K (Glassdoor Est.),"Back
Data Scientist

CAROUSEL_PARAGRAPH
Hyderabad, India
Tech Hiring
2569514
Share Job
Share Job

Job Description

Key skills required for the job are: n CDP AI/ML-L3,IBM Watson-L2, (Mandatory) .As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module. You should have good experience in application of standard software development principles. You should be able to work as an independent team member, capable of applying judgment to plan and execute your tasks. You should have in-depth knowledge of at least one development technology/ programming language. You should be able to respond to technical queries / requests from team members and customers. You should be able to coach, guide and mentor junior members in the team. Minimum work experience: 3 - 5 YEARS ""As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module. You should have good experience in application of standard software development principles. You should be able to work as an independent team member, capable of applying judgment to plan and execute your tasks. You should have in-depth knowledge of at least one development technology/ programming language. You should be able to respond to technical queries / requests from team members and customers. You should be able to coach, guide and mentor junior members in the team.
""

Apply

Refer
Share Job
Share Job

CAROUSEL_PARAGRAPH",4.1,"Appirio
4.1",Hyderābād,1001 to 5000 Employees,2006,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Data Scientist,₹596K - ₹751K (Glassdoor Est.),"5+ years of experience
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Develop custom data models and algorithms to apply to data sets.
Coordinate with different functional teams to implement models and monitor outcomes.
Strong problem solving skills with an emphasis on product development.
Experience in creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Excellent communication and presentation skills
Graduate",4.2,"Schneider Electric
4.2",Bangalore,10000+ Employees,1836,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Data Scientist,₹439K - ₹561K (Glassdoor Est.),"Our Excellerate Global Leadership Program will give you an outstanding opportunity to engage with commercial projects at a strategic and global level, rising up to challenges and becoming and developing as a leader.

As part of the Excellerate program you are able to seize the initiative, operate with a consultative approach and collaborate on cross-technology solutions. The program will ensure you gain real practical insight into our business, our stakeholders and our customers including communication service providers (CSP) across the globe, and how we integrate end-to-end solutions to ensure everyone worldwide is connected.

Your journey within the Excellerate Program will start as Ericsson Early Career Program | Innovate | at GAIA

Our Exciting Opportunity :


As a Data Scientist, you will need to have strong programming skills and good understanding of data science and Machine Learning tools. You will use your knowledge and/or experience in Data Science methodologies and apply them to seek results-oriented real-world problems as part of a highly dynamic and distributed team. Your contribution will also help to build new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses!
We believe in trust – we trust each other to do the right things!
We believe in taking decisions as close to the product and technical expertise as possible.
We believe in creativity – trying new things and learning from our mistakes.
We believe in sharing our insights and helping one another to build an even better user plane.
We truly believe in happiness, we enjoy and feel passionate about what we do and value each other’s technical competence deeply.
You will:

Conduct functional and technical analysis within Ericsson organization and strategic customers to understand MI-driven business needs and opportunities.
Engage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needs.
Work with new technologies and champion them in MI Communities within Ericsson.
Help to develop new and apply/extend existing, concepts, methodologies, techniques for multi-functional initiatives.
To be successful in the role you must have:
Experience with Big Data technologies such as Hadoop, Cassandra etc.
Strong Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python and/or C++.
Ability to build and champion internal and external communities.
Ability to work independently with high energy, passion and persistence.
Key Qualification:

Experience: 3 years
Education: · A Bachelor’s degree or higher in a technology related discipline from a reputed university.
What´s in it for you?


Here at Ericsson, our culture is built on over a century of daring decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo, but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, in a place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless.

What happens once you apply?


To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process

Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.

Be the one who did.

Find out more about our Early Career program, what the alumni's are up to now and how the program can transform your career at www.ericsson.com/ecp",4.0,"Ericsson-Worldwide
4.0",Chennai,10000+ Employees,1876,Company - Public,Telecommunications Service,Telecommunications,$10+ billion (USD)
Data Scientist,₹457K - ₹899K (Glassdoor Est.),"We are looking for a Data Scientist who will support our support, sales, leadership and other teams with insights gained from analyzing company and customer data. The ideal candidate is adept at using different data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. This person will also be responsible for building tools/platforms to make it easier for others to leverage ML capability and spread culture of ML by doing brown bags etc.

Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Build tools/platforms to make it easier for others to leverage ML capability and spread culture of ML by doing brown bags etc.
Mine and analyze data from company databases to drive optimization and improvement of support process, product development, sales opportunities and other improvements
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications:
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
We’re looking for someone with 4-8 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:
Coding knowledge and experience with programming languages like python, java etc
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Familiarity with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders
]]>",3.9,"Nutanix
3.9",Bangalore,5001 to 10000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist - 1,₹443K - ₹569K (Glassdoor Est.),"28-Jan-2021

Job ID
305220BR
{""QuestionName"":""Job Description"",""AnswerValue"":""20+ brands catering to 50+ disease areas! The team of Novartis specialists within Insights & Analytics are on a data and digital transformation journey, leveraging analytics to generate actionable insights for Novartis medicines impacting more than 500 million patients worldwide. The team is poised to enable easier, faster and reliable decisions for Novartis divisions across the globe.

Design, develop and deliver various NLP based insights, outcomes and innovation (using mathematics, computer science, statistics, engineering, management science, technology, economics, etc) and create “proof of concepts & blueprints” to drive faster, timely, highly precise, workable and proactive decision making based on data based insights.
• Facilitate development of frontend web interfaces to convey insights through dashboards and visualizations.
• Understand life science data sources including sales, contracting, promotions, social media, patient claims and Real World Evidence.
• Articulates solutions/recommendations to business users. Works with senior data science team member to present analytical content concisely and effectively
• Own adoption, execution and integration of data science based solution end to end all the way from discovery to launch/post-launch and into business, design, product, delivery, operations, marketing, brand management, research and technology roadmaps.
• Independently identifies research articles and reproduce/apply methodology to Novartis business problems

Position Title
Data Scientist - 1",4.2,"Novartis
4.2",Hyderābād,10000+ Employees,1996,Company - Public,Biotech & Pharmaceutical,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist - Machine Learning (Commerce BU),"₹576K - ₹1,200K (Glassdoor Est.)","Under guidance, or independently, design and implement machine learning models by
Procuring data from platform, client and public data sources
Implementing data enrichment and cleansing routines
Implementing features, preparing modeling data sets, feature selection, etc.
Evaluating candidate models, selecting and reporting on test performance of final one
Ensuring proper runtime deployment of models, and
Implementing runtime monitoring of model inputs and performance in order to ensure continued model stability
Work with product, sales and engineering teams helping shape up the final solution
Use data to understand patterns, come up with and test hypothesis; iterate
Help prepare sales materials, estimate hardware requirements, etc.
Supply Chain Nation

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out Blue Yonder's blog - Supply Chain Nation - the platform for supply chain trends and innovations.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.",4.3,"Blue Yonder
4.3",Bangalore,5001 to 10000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD)
Decision Scientist 1-2,-1,"Job Description:

Decision Scientists are on the front line of identifying and targeting fraud to keep our millions of users secure and engaged. Risk Decision Scientists apply their analytical and technical skills into researching data, monitoring and creating logics that stop fraudulent activity on PayPals platform. They analyze existing loss trends and define logics, solutions and operational processes that prevent them - while delivering best-in-class customer experience for PayPal users.

Risk Decision Scientists work closely with one another to align on fraud-prevention methodologies and tools, with Risk Operations, Data Science, InfoSec and with Customer Support, in order to keep learning about current fraud. They also partner closely with the Product teams to define features and integrate risk prevention tools to support business goals.

Our team members are excited about solving analytical problems. They are bright, they are responsible, and they know how to follow through. If youre also like that, wed love to hear from you.

Job Requirements:
Developing expertise in specific areas by leading analytical projects independently, while setting goals, providing benefit estimations, defining workflows and coordinating timelines in advance.
Enthusiasm for data-driven problem solving within a fast-paced environment is a must. In addition, experience with Microsoft Excel or statistical software, proficiency in SQL or other relational database languages, is a hard requirement.
Fight fraudulent activity by analyzing existing loss trends through review of specific cases, research on our payments database and incorporation of feedback from other teams.
Produce accurate, automated risk solutions to block fraudulent activities through various actions.
Work closely with product teams on development of new products to identify potential gaps that might create loss, and define requirements to mitigate those risks.
Have a good understanding of general business trends and directions to be able to relate work in the broader business context.
Partner with teams from across the global to identify and react quickly to prevent new and emerging fraud trends, thus preventing losses
Develop controls and monitoring dashboards to ensure performance against business goal, regulatory requirements and business priorities.
Qualifications
BS/BA degree with 5+ years of experience or masters degree with 3+ years of experience.
Strong analytical and reporting skills (SQL experience is a requirement)
High proficiency in fundamental SQL. Other technical skills are a plus (Java/C/C++; Perl/Python; strong UNIX background; Hadoop; R )
Strong organizational skills and excellent follow-through
Outstanding written, verbal and interpersonal communication skills
High emotional intelligence, a can-do mentality and a creative approach to problem solving",4.1,"Paypal
4.1",Bangalore,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Analyst - Product,₹300K - ₹631K (Glassdoor Est.),"OUR STORY:

JioSaavn is South Asias leading music streaming service. We are over 200 entrepreneurs, across New York, California, Mumbai, Gurgaon, and Bangalore, who help music lovers access, discover, and listen to their favorite songs across languages and genres. In early 2018, a merger between JioMusic and Saavn was announced; creating a combined entity valued at over $1 billion.

We blend digital technology, data analysis (which we have affectionately coined Music Science), and a strong, fearless business acumen to reach all corners of the globe. Through partnerships with Apple, Google, Amazon, Facebook, Twitter and Shazam - to name a few - JioSaavn reaches more music fans across the world. Our award-winning mobile products, partnerships, innovations and thought leadership have been featured in some of the worlds leading publications, from The New York Times, to The Wall Street Journal, The Economic Times to Forbes, and many more. We are well-funded by some of the worlds most successful institutional investors and global media companies as well as a number of strategic individuals. Beyond investing, they are advisors and supporters of our vision, our passion, and our collective ability to deliver a revolutionary music experience as the leader in India.

OUR CULTURE:

At JioSaavn, we ignite passion and performance to work towards a collective goal: creating the perfect mobile entertainment ecosystem that delivers the best possible music experience to millions of listeners around the world. Our default mode is that of perpetual innovation. Together, we form a concerted rhythm that goes beyond borders. We don't just go with the flow, we create it.

JioSaavn offers a dynamic and unconventional work environment, full of fun wholesome experiences from in-office performances by some of the worlds most beloved musicians to opportunities for international travel. We believe creativity and technology blend together like sweet melodies. When you choose JioSaavn, you join a diverse world of high-calibre techies, artists, and inventors hailing from companies like Yahoo!, Twitter, LinkedIn, Google, Qualcomm, HBO, Microsoft, Flipkart, Amazon, Paytm, Quikr, MSN, and NDTV. We are one of the few digital companies to provide employment opportunities that meet the Silicon Valley benchmark right here in Mumbai! Figures, since weve got Silicon Valley covered, too.

Our value-based, people-first work culture is about empowering every individual in our global team to be catalysts for change in this dynamic digital world. Every day is an opportunity to bring your vision to life, and to expand, learn and grow. No idea is left unconsidered. No voice is left unheard.

With listeners speaking multiple languages in almost every country in the world, we like to think we have the most diverse user base on the planet. This has only been made possible because of the value we place on radical inclusivity in our offices across the globe. We believe different is wonderful, and what sets us apart is also what brings us closer. JioSaavn prides itself on being an equal opportunity employer. We have committed ourselves to creating a safe environment with fair and equal access and opportunities, sans discrimination. We encourage everyone to be open to experiences and perspectives beyond their normal; divergent thinkers create differentiated products, and even better music.

If our vibe matches with yours, we'd love to hear from you.

ROLE & RESPONSIBILITIES:
End to end product tracking (events structuring, implementation with engineering teams, QA). This includes working with the engineers to ensure that every feature/new product release has all relevant events, are properly tested and can deliver relevant metrics to the Prod Owners.
Defining & documenting all the structural changes in events & communicate them to the relevant teams.
Partnering with Data-Infra & BI teams to help build out our data platforms & infrastructure.
Providing assistance to the Product Team with data analysis and guide the product decisions based on insights from data validation & A/B Testing.
Creating reports on their findings and communicating next steps to key stakeholders.
Documenting and speaking clearly, the complex ideas & findings.
REQUIREMENTS:
Have 1-2 years of data analyst experience.
Adept in writing optimised SQL/Hive Query & knowledge about Big Data framework.
Strong hold in scripting languages like Python/R.
Proficiency in web/product analytics tools like Google analytics, Amplitude, web analytics etc.
Basic Understanding of statistical/predictive modelling and segmentation techniques.
Proficient in working with advanced Excel and Powerpoint.
Be great in translating data to insights, report writing and relevant visualisations.
Strong communication/interpersonal skills along with an eye for detail.
Demonstrated knowledge of and skill in decision making, customer service, interpersonal relations, problem solving, project management, quality management, written communication, results orientation, strategic thinking.
Experience in the technology industry with the big-data infra will be a bonus.
BENEFITS AND PERKS:

At JioSaavn, we blur work and play, and you get all the perks of a global company. You will get to work with a dynamic group of entrepreneurs, who are delivering results and working zealously across time zones to make a difference in the way the world experiences music. We love what we do, and we think you will too.
Work days: Monday to Friday (weekends off)
Group Mediclaim
Fun Fridays
Flexible vacation policies
Free healthy (and unhealthy) lunches & snacks
JioSaavn -sponsored team outings
Powered by JazzHR",4.4,"Saavn
4.4",Mumbai,201 to 500 Employees,2007,Company - Private,Music Production & Distribution,Media,Unknown / Non-Applicable
